prompt,completion,guess,stage,secret
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
CABAL: C(x) A(x) B(x) A(x) L(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I can eliminate B, L, A. Let me choose a word that satisfies these constraints.</think><guess>FIXED</guess>",FIXED,mid_game,FIXED
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
KYANG: K(x) Y(x) A(x) N(✓) G(x)
SCOUT: S(✓) C(x) O(✓) U(x) T(-)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know N is at position 4, S is at position 1. The word contains T but in different positions. I can eliminate U, Y, K. Let me choose a word that satisfies these constraints.</think><guess>STOND</guess>",STOND,mid_game,STONE
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>I'll start with a word containing common vowels and consonants to maximize information gain.</think><guess>VENEY</guess>,VENEY,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
GUIRO: G(x) U(x) I(x) R(-) O(-)
PLASH: P(-) L(-) A(x) S(x) H(x)
DICED: D(x) I(x) C(x) E(x) D(x)
BRAAI: B(x) R(✓) A(x) A(x) I(x)
GIRDS: G(x) I(x) R(-) D(x) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Combining all the position and letter information, I can deduce the most probable answer.</think><guess>ORLOP</guess>",ORLOP,late_game,ORLOP
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
ACRES: A(x) C(-) R(x) E(x) S(-)
GAILY: G(x) A(x) I(x) L(x) Y(x)
PLAID: P(x) L(x) A(x) I(x) D(x)
SLICK: S(✓) L(x) I(x) C(✓) K(✓)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>After eliminating so many options, the answer should be clear from the remaining constraints.</think><guess>SHUCK</guess>",SHUCK,late_game,SHUCK
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>Beginning with a balanced mix of vowels and consonants in common positions.</think><guess>PLACK</guess>,PLACK,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
WIMPS: W(x) I(-) M(x) P(x) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>The word contains I but in different positions. I can eliminate S, M, P. Let me choose a word that satisfies these constraints.</think><guess>FRITT</guess>",FRITT,mid_game,IDEAL
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
CLONK: C(x) L(-) O(x) N(x) K(x)
LABIA: L(-) A(-) B(x) I(x) A(x)
KEDGE: K(x) E(✓) D(x) G(x) E(x)
VOGUE: V(x) O(x) G(x) U(x) E(-)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Based on all the feedback, I can narrow down the possibilities to very few words. Let me choose the most likely candidate.</think><guess>SEALS</guess>",SEALS,late_game,SEALS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
SCHUL: S(x) C(x) H(x) U(x) L(-)
ATILT: A(x) T(x) I(-) L(-) T(x)
GYELD: G(-) Y(x) E(-) L(-) D(x)
DAYAN: D(x) A(x) Y(x) A(x) N(x)
CULTS: C(x) U(x) L(-) T(x) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>After eliminating so many options, the answer should be clear from the remaining constraints.</think><guess>LIGGE</guess>",LIGGE,late_game,LIGGE
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:","<think>Let me begin with a word that has high-frequency letters like E, A, R, S, and T.</think><guess>BLIVE</guess>",BLIVE,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>I'll start with a word containing common vowels and consonants to maximize information gain.</think><guess>CHUNK</guess>,CHUNK,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>I'll start with a word containing common vowels and consonants to maximize information gain.</think><guess>ZYMES</guess>,ZYMES,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>I'll start with a word containing common vowels and consonants to maximize information gain.</think><guess>OOMPH</guess>,OOMPH,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>Starting with a word containing multiple vowels will help narrow down possibilities quickly.</think><guess>PILOW</guess>,PILOW,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
HENGE: H(✓) E(✓) N(x) G(x) E(-)
HALES: H(✓) A(x) L(x) E(✓) S(x)
PASES: P(x) A(x) S(x) E(✓) S(x)
APHID: A(x) P(x) H(-) I(x) D(✓)
COYER: C(x) O(x) Y(x) E(✓) R(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>With so many constraints identified, there are only a handful of valid words remaining. I'll pick the one that best fits.</think><guess>HEXED</guess>",HEXED,late_game,HEWED
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>Beginning with a balanced mix of vowels and consonants in common positions.</think><guess>SWISH</guess>,SWISH,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>I'll choose a word with common letters in typical positions for English words.</think><guess>UNWON</guess>,UNWON,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
DOXES: D(x) O(x) X(x) E(✓) S(✓)
FOUAT: F(x) O(x) U(x) A(-) T(x)
COOTS: C(x) O(x) O(x) T(x) S(✓)
AZINE: A(-) Z(x) I(x) N(x) E(-)
BERKS: B(x) E(-) R(x) K(x) S(✓)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>With so many constraints identified, there are only a handful of valid words remaining. I'll pick the one that best fits.</think><guess>PALES</guess>",PALES,late_game,PALES
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>I'll choose a word with common letters in typical positions for English words.</think><guess>ICKLE</guess>,ICKLE,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
LOBUS: L(x) O(x) B(x) U(-) S(-)
MINOS: M(x) I(x) N(x) O(x) S(-)
HYDRO: H(x) Y(x) D(x) R(x) O(x)
YACHT: Y(x) A(-) C(-) H(x) T(-)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Combining all the position and letter information, I can deduce the most probable answer.</think><guess>SCUTA</guess>",SCUTA,late_game,SCUTA
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
AFROS: A(x) F(x) R(x) O(x) S(✓)
CARBO: C(x) A(x) R(x) B(x) O(x)
RATHS: R(x) A(x) T(x) H(x) S(✓)
VESPA: V(x) E(-) S(-) P(x) A(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Combining all the position and letter information, I can deduce the most probable answer.</think><guess>SNEES</guess>",SNEES,late_game,SNEES
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
RUDIS: R(x) U(x) D(-) I(x) S(x)
LOMED: L(x) O(✓) M(x) E(✓) D(✓)
IDLED: I(x) D(x) L(x) E(✓) D(✓)
RURUS: R(x) U(x) R(x) U(x) S(x)
BURSA: B(x) U(x) R(x) S(x) A(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>After eliminating so many options, the answer should be clear from the remaining constraints.</think><guess>HOYED</guess>",HOYED,late_game,HOYED
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
MAYAS: M(x) A(x) Y(x) A(x) S(✓)
DOYEN: D(x) O(✓) Y(x) E(x) N(x)
PREPS: P(x) R(-) E(x) P(x) S(✓)
SARKY: S(-) A(x) R(-) K(x) Y(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>After eliminating so many options, the answer should be clear from the remaining constraints.</think><guess>ROJIS</guess>",ROJIS,late_game,ROUTS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
CARVE: C(x) A(✓) R(-) V(x) E(-)
STONE: S(x) T(x) O(x) N(x) E(-)
ALOOF: A(-) L(-) O(x) O(x) F(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know A is at position 2. The word contains E, L but in different positions. I can eliminate F, T, S. Let me choose a word that satisfies these constraints.</think><guess>BALER</guess>",BALER,mid_game,BALER
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>Starting with a word containing multiple vowels will help narrow down possibilities quickly.</think><guess>JURES</guess>,JURES,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>I'll choose a word with common letters in typical positions for English words.</think><guess>AECIA</guess>,AECIA,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
HYPES: H(x) Y(x) P(x) E(-) S(-)
FLOCK: F(x) L(x) O(-) C(x) K(x)
HEIRS: H(x) E(✓) I(x) R(x) S(-)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know E is at position 2. The word contains S, E but in different positions. I can eliminate Y, K, F. Let me choose a word that satisfies these constraints.</think><guess>MESON</guess>",MESON,mid_game,SEXTO
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
BOGGY: B(x) O(x) G(x) G(x) Y(x)
URAEI: U(-) R(x) A(-) E(x) I(x)
BOBOS: B(x) O(x) B(x) O(x) S(✓)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know S is at position 5. The word contains U, A but in different positions. I can eliminate Y, G, B. Let me choose a word that satisfies these constraints.</think><guess>TUFAS</guess>",TUFAS,mid_game,VAUTS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
CUPID: C(x) U(x) P(✓) I(x) D(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know P is at position 3. I can eliminate D, I, U. Let me choose a word that satisfies these constraints.</think><guess>HYPES</guess>",HYPES,mid_game,HYPES
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
JUPON: J(x) U(x) P(x) O(-) N(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>The word contains O but in different positions. I can eliminate U, J, N. Let me choose a word that satisfies these constraints.</think><guess>OCHRE</guess>",OCHRE,mid_game,COOMY
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
YAARS: Y(-) A(x) A(x) R(x) S(x)
GUSLE: G(x) U(x) S(x) L(x) E(-)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>The word contains E, Y but in different positions. I can eliminate U, G, L. Let me choose a word that satisfies these constraints.</think><guess>TENTY</guess>",TENTY,mid_game,FENDY
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
TIRRS: T(x) I(-) R(x) R(x) S(-)
BANAL: B(x) A(x) N(x) A(x) L(x)
LAZAR: L(x) A(x) Z(x) A(x) R(x)
RUTTY: R(x) U(x) T(x) T(x) Y(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>After eliminating so many options, the answer should be clear from the remaining constraints.</think><guess>SKIFF</guess>",SKIFF,late_game,SKIFF
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
CAPON: C(x) A(✓) P(x) O(x) N(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know A is at position 2. I can eliminate N, P, C. Let me choose a word that satisfies these constraints.</think><guess>EALES</guess>",EALES,mid_game,TARGA
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
GLOBY: G(-) L(x) O(x) B(x) Y(x)
DOMAL: D(x) O(x) M(x) A(x) L(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>The word contains G but in different positions. I can eliminate D, Y, B. Let me choose a word that satisfies these constraints.</think><guess>ICING</guess>",ICING,mid_game,ICING
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
TREIF: T(-) R(x) E(x) I(x) F(x)
GULES: G(x) U(x) L(x) E(x) S(✓)
DODOS: D(x) O(x) D(x) O(x) S(✓)
GRADE: G(x) R(x) A(-) D(x) E(x)
COTES: C(x) O(x) T(✓) E(x) S(✓)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Combining all the position and letter information, I can deduce the most probable answer.</think><guess>BATHS</guess>",BATHS,late_game,BATHS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
CRAIC: C(x) R(x) A(-) I(x) C(x)
AIDAS: A(-) I(x) D(x) A(x) S(-)
COOKS: C(x) O(-) O(x) K(✓) S(-)
PREIF: P(x) R(x) E(x) I(x) F(x)
GREWS: G(x) R(x) E(x) W(x) S(-)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Combining all the position and letter information, I can deduce the most probable answer.</think><guess>SANKO</guess>",SANKO,late_game,SANKO
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
OUTRO: O(x) U(✓) T(x) R(-) O(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know U is at position 2. The word contains R but in different positions. I can eliminate T, O. Let me choose a word that satisfies these constraints.</think><guess>RURPS</guess>",RURPS,mid_game,RURPS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
FOUET: F(x) O(x) U(x) E(x) T(x)
ETAPE: E(x) T(x) A(-) P(x) E(x)
DHOBI: D(x) H(x) O(x) B(x) I(x)
WEETE: W(x) E(x) E(x) T(x) E(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Based on all the feedback, I can narrow down the possibilities to very few words. Let me choose the most likely candidate.</think><guess>RANKS</guess>",RANKS,late_game,RANKS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
WILES: W(x) I(x) L(x) E(x) S(-)
EJIDO: E(x) J(x) I(x) D(x) O(x)
QUICH: Q(x) U(-) I(x) C(x) H(x)
UMMED: U(✓) M(x) M(x) E(x) D(x)
CURST: C(x) U(-) R(x) S(-) T(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Based on all the feedback, I can narrow down the possibilities to very few words. Let me choose the most likely candidate.</think><guess>UNSAY</guess>",UNSAY,late_game,UNSAY
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>Starting with a word containing multiple vowels will help narrow down possibilities quickly.</think><guess>FROST</guess>,FROST,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
HURRA: H(x) U(x) R(x) R(x) A(-)
SLUSH: S(-) L(x) U(x) S(x) H(x)
CAROM: C(x) A(✓) R(x) O(x) M(x)
SICHT: S(-) I(x) C(x) H(x) T(x)
LIMBO: L(x) I(x) M(x) B(x) O(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>After eliminating so many options, the answer should be clear from the remaining constraints.</think><guess>WAKAS</guess>",WAKAS,late_game,WAKAS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
HOKES: H(x) O(x) K(x) E(x) S(x)
MORAS: M(x) O(x) R(x) A(-) S(x)
TRUCK: T(x) R(x) U(x) C(-) K(x)
SWEES: S(x) W(x) E(x) E(x) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>After eliminating so many options, the answer should be clear from the remaining constraints.</think><guess>CNIDA</guess>",CNIDA,late_game,CNIDA
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>I'll choose a word with common letters in typical positions for English words.</think><guess>LOOPS</guess>,LOOPS,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
JARTA: J(x) A(-) R(x) T(-) A(x)
SENNA: S(x) E(x) N(x) N(x) A(-)
BUROO: B(x) U(x) R(x) O(-) O(x)
GYPPO: G(✓) Y(x) P(x) P(x) O(-)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>After eliminating so many options, the answer should be clear from the remaining constraints.</think><guess>GLOAT</guess>",GLOAT,late_game,GLOAT
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
CAMIS: C(x) A(-) M(x) I(x) S(✓)
GLOWS: G(✓) L(-) O(x) W(x) S(✓)
PIKES: P(x) I(x) K(x) E(x) S(✓)
SURES: S(x) U(✓) R(x) E(x) S(✓)
LAMES: L(-) A(-) M(x) E(x) S(✓)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Combining all the position and letter information, I can deduce the most probable answer.</think><guess>GULAS</guess>",GULAS,late_game,GULAS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
MUTCH: M(x) U(x) T(x) C(x) H(x)
WITAN: W(✓) I(x) T(x) A(-) N(x)
LAZAR: L(x) A(✓) Z(x) A(x) R(-)
SHUNT: S(x) H(x) U(x) N(x) T(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Based on all the feedback, I can narrow down the possibilities to very few words. Let me choose the most likely candidate.</think><guess>WARRE</guess>",WARRE,late_game,WARRE
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>I'll start with a word containing common vowels and consonants to maximize information gain.</think><guess>JELAB</guess>,JELAB,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
URBAN: U(x) R(x) B(x) A(x) N(x)
PRINT: P(-) R(x) I(x) N(x) T(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>The word contains P but in different positions. I can eliminate U, R, B. Let me choose a word that satisfies these constraints.</think><guess>MOPPY</guess>",MOPPY,mid_game,GYPSY
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
LUNES: L(-) U(x) N(x) E(x) S(✓)
FIBER: F(x) I(x) B(x) E(x) R(x)
FEUDS: F(x) E(x) U(x) D(x) S(✓)
UNICA: U(x) N(x) I(x) C(x) A(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>With so many constraints identified, there are only a handful of valid words remaining. I'll pick the one that best fits.</think><guess>POOLS</guess>",POOLS,late_game,POOLS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
AVION: A(-) V(x) I(x) O(x) N(x)
ABAFT: A(-) B(-) A(x) F(x) T(x)
BASIS: B(✓) A(✓) S(x) I(x) S(x)
SUMIS: S(x) U(x) M(x) I(x) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Combining all the position and letter information, I can deduce the most probable answer.</think><guess>BAKER</guess>",BAKER,late_game,BAKER
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
SUGHS: S(x) U(✓) G(x) H(x) S(x)
COARB: C(x) O(x) A(x) R(x) B(-)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know U is at position 2. The word contains B but in different positions. I can eliminate R, G, S. Let me choose a word that satisfies these constraints.</think><guess>TUBED</guess>",TUBED,mid_game,BUFFE
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
CULEX: C(x) U(-) L(x) E(x) X(x)
THUYA: T(x) H(-) U(-) Y(x) A(-)
POUFF: P(x) O(x) U(-) F(x) F(x)
SHONE: S(-) H(-) O(x) N(x) E(x)
TABOO: T(x) A(✓) B(-) O(x) O(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Based on all the feedback, I can narrow down the possibilities to very few words. Let me choose the most likely candidate.</think><guess>BAHUS</guess>",BAHUS,late_game,BAHUS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
NUNNY: N(✓) U(x) N(x) N(x) Y(x)
VOLAR: V(x) O(-) L(x) A(-) R(✓)
PIING: P(x) I(x) I(x) N(-) G(-)
ERUVS: E(x) R(-) U(x) V(x) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>With so many constraints identified, there are only a handful of valid words remaining. I'll pick the one that best fits.</think><guess>NAGOR</guess>",NAGOR,late_game,NAGOR
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:","<think>Let me begin with a word that has high-frequency letters like E, A, R, S, and T.</think><guess>PUNNY</guess>",PUNNY,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
FAQIR: F(x) A(✓) Q(x) I(x) R(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know A is at position 2. I can eliminate F, Q, R. Let me choose a word that satisfies these constraints.</think><guess>YAWPS</guess>",YAWPS,mid_game,PALLA
